Id,Title,Senior,Company,Location,Salary,Currency
154,Senior Python Computer Vision Engineer,True,Unitem,Wrocław,15 000  – 20 000  PLN,PLN
155,Machine Learning Engineer (Senior),True,Tooploox,Zdalnie    +2,18 000  – 26 000  PLN,PLN
156,Computer Vision Engineer (Senior),True,Tooploox,Zdalnie    +2,18 000  – 26 000  PLN,PLN
157,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN
158,Remote ML Developer Researcher,False,Galaktus Agency,Zdalnie    +1,26 400  – 33 000  PLN,PLN
159,Remote Lead ML Developer Researcher,True,Galaktus Agency,Zdalnie    +1,28 500  – 35 500  PLN,PLN
160,Senior Research Scientist,True,Snowflake,Warszawa    +1,35 000  – 70 000  PLN,PLN
161,Data Scientist/ AI Product Owner,False,Britenet,Lublin    +3,18 480  – 21 000  PLN,PLN
162,Data Scientist Lead,True,Objectivity,Zdalnie    +2,30 240  – 38 640  PLN,PLN
163,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN
164,Cloud Apps Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,12 000  – 19 000  PLN,PLN
165,Regular / Senior Data Scientist,True,hubQuest,Zdalnie    +1,20 000  – 28 500  PLN,PLN
166,Data Engineer,False,Unit8 SA,Kraków    +1,22 000  – 26 000  PLN,PLN
167,Computer Vision / ML ENGINEER,False,AUTOMADE,Zdalnie    +1,14 000  – 26 000  PLN,PLN
168,AI/ML Data Labeling Manager,False,Focal Systems,Zdalnie,22 000  – 30 000  PLN,PLN
169,Junior Cloud Engineer,False,Reply Polska,Zdalnie,5 000  – 9 000  PLN,PLN
170,AI LAB,False,Deloitte Advisory,Remote,4 200  PLN,PLN
171,Machine Learning Engineer/Data Scientist,False,LoopMe,Zdalna  + 1,16 000  - 18 000  PLN,PLN
172,Remote Machine Learning Engineer,False,SoftwareMill,Zdalna  + 5,25 200  - 31 500  PLN,PLN
173,Cloud Solutions Architect,False,Grape Up,"Kraków, POL  + 2",22 100  - 35 700  PLN,PLN
174,Junior Python AI Developer,False,Walksee,Zdalna  + 1,8 000  - 10 000  PLN,PLN
175,AI C++ Engineer (Senior),True,Tooploox,Zdalna  + 2,17 000  - 23 000  PLN,PLN
176,Lead Software Engineer - NLP,True,Hays Poland,Zdalna  + 1,22 000  - 32 000  PLN,PLN
177,Sr. Software Engineer (Machine Learning),False,Affirm,Zdalna  + 1,22 042  - 24 247  PLN,PLN
